Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,VOL_SMA_20
2022-12-15,341.126220703125,348.5644843917031,337.49082261728466,346.21972869326925,2774900,347.7941101074219,344.97840270996096,323.0655310058594,2393190.0
2022-12-16,340.72235107421875,343.0868305203005,338.29876189693397,339.6681774244531,5947100,346.3931579589844,345.2035247802734,323.9839373779297,2590320.0
2022-12-19,336.2101745605469,340.7322498867896,334.5156252605744,340.2494802746525,2457300,344.93211059570314,345.0838256835938,324.89603820800784,2576300.0
2022-12-20,337.8751525878906,339.2741230656978,335.57961431192723,336.31851606268134,1895900,344.48089294433595,345.31535186767576,325.90429626464845,2572840.0
2022-12-21,340.5745544433594,342.4562942727267,337.3036758897161,338.55490193887886,2087000,344.31044921875,345.35131378173827,327.07944641113284,2551655.0
2022-12-22,336.4662170410156,340.4858585256828,331.45154186048285,339.0967199292156,2276100,343.35972290039064,345.0005798339844,328.22503967285155,2568595.0
2022-12-23,338.5154724121094,339.44156485934093,332.6929239659562,334.00322962606907,1914500,342.84446411132814,344.62176818847655,329.2031494140625,2617100.0
2022-12-27,341.0375671386719,341.776468723627,336.75193193273566,339.00805319060703,1637700,341.66123352050784,344.69910583496096,330.3355413818359,2587675.0
2022-12-28,336.889892578125,344.3380185453308,336.7223949809277,341.4217984874315,1854100,340.1637268066406,344.64097747802737,331.2598583984375,2594170.0
2022-12-29,343.0572509765625,344.54491592545844,338.45637352163624,339.28393976493373,1459800,339.2474853515625,344.23753509521487,332.2023034667969,2454545.0
2022-12-30,342.58441162109375,342.75187917759354,338.53521447446536,340.2199020136668,1617600,339.3933044433594,343.5937072753906,333.18691589355467,2366690.0
2023-01-03,341.66815185546875,349.41185770925074,338.85048765766777,344.7813947882625,2933600,339.4878845214844,342.9405212402344,334.18236450195315,2412595.0
2023-01-04,349.89453125,351.6974679889402,344.5153360264731,346.19019167766555,2661000,340.8563201904297,342.8942153930664,335.22234375,2435520.0
2023-01-05,346.5645751953125,352.26890448552405,346.0719740837637,350.8502108789845,2608500,341.7252624511719,343.1030776977539,336.1320782470703,2448280.0
2023-01-06,362.8172302246094,363.85335949515553,350.6302287175766,352.59395357585055,4432800,343.94953002929685,344.12998962402344,337.25238647460935,2547205.0
2023-01-09,366.0736389160156,370.0504465099176,364.68224562336445,366.724931315647,3913500,346.9102722167969,345.13499755859374,338.2782208251953,2642950.0
2023-01-10,366.11309814453125,366.7742380396412,362.36323576869097,363.9421236051089,3485900,349.67003479003904,346.2572494506836,339.3076025390625,2702190.0
2023-01-11,372.8726806640625,372.93191644065973,366.35981694615333,367.7018521003366,3370200,352.8535461425781,347.257389831543,340.2731646728516,2749345.0
2023-01-12,374.79693603515625,376.0995207586793,371.9450964195621,372.8726617792799,3291200,356.6442504882813,348.40398864746095,341.3026300048828,2760295.0
2023-01-13,370.5635986328125,372.88258761876534,369.36957753932455,370.10967848496153,4261000,359.39488525390624,349.32118530273436,342.1487115478516,2843985.0
2023-01-17,370.0504150390625,373.33644947410625,369.043888751477,370.0504150390625,2814500,362.1414855957031,350.76739501953125,343.2479724121094,2845965.0
2023-01-18,364.05072021484375,370.8497649774276,363.636250450935,369.5669354342332,2747100,364.37974243164064,351.9338134765625,344.4370880126953,2685965.0
2023-01-19,363.0836181640625,365.9058550028169,358.8009047794773,359.7877059311729,3111200,365.6986511230469,353.2774856567383,345.42558349609374,2718660.0
2023-01-20,371.3135070800781,371.6490158316092,364.52431086966897,365.34337262571796,3863400,368.1735443115234,354.9494033813477,346.445478515625,2817035.0
2023-01-23,373.5733337402344,376.3462426750586,371.39248142760704,371.7674706981867,2743900,369.24915466308596,356.5993423461914,347.49835327148435,2849880.0
2023-01-24,374.99432373046875,384.8524578209995,370.2675376753488,384.8524578209995,2756200,370.14122314453124,358.52574768066404,348.77885498046874,2873885.0
2023-01-25,377.3429260253906,377.5106653654245,370.1491368318627,370.1491368318627,3501900,371.2642059326172,360.4671203613281,349.6801300048828,2953255.0
2023-01-26,372.2608642578125,379.0401834868854,368.0768369278561,378.34944073578265,3718400,371.20302429199216,362.02828521728514,350.43996154785157,3057290.0
2023-01-27,369.0932312011719,375.4975609979457,368.4518164796323,371.22472528896225,3405600,370.6326538085938,363.6384521484375,351.1348651123047,3134865.0
2023-01-30,366.2216491699219,368.8070634436275,364.5243499354215,364.5835555970497,2688600,370.1984588623047,364.79667205810546,351.6907611083984,3196305.0
2023-01-31,365.70855712890625,367.5637483371239,362.17579171373814,365.1065926937874,3137400,369.76427307128904,365.95287933349607,352.2511737060547,3272295.0
2023-02-01,369.1425476074219,371.80692266209246,362.1560089682916,363.7052939453762,2951900,370.27345581054686,367.32659912109375,352.90962646484377,3273210.0
2023-02-02,369.9912109375,375.44821987629604,367.87944210503696,374.5107467750101,2761600,370.96421508789064,368.33143310546876,353.53736755371096,3278240.0
2023-02-03,368.9748229980469,373.227933561361,365.59994980184973,365.90585575031776,2739600,370.7303466796875,369.45194549560546,354.25197143554686,3284795.0
2023-02-06,368.0472106933594,369.3892457460129,364.1789370969947,365.1164101961129,2068300,370.177734375,369.713444519043,354.81580932617186,3166570.0
2023-02-07,370.1096496582031,372.09312967475387,363.97174508919244,366.6065175009506,2309100,369.68926696777345,369.91524505615234,355.34838439941404,3086350.0
2023-02-08,365.4618225097656,370.83002333041907,365.25460269440293,368.24460906090667,2193600,368.50115661621095,369.88268127441404,355.73578674316406,3021735.0
2023-02-09,365.5308532714844,369.6260715509074,364.37628280802244,368.3728149608181,2287600,367.8281555175781,369.51558990478514,356.25658752441404,2967605.0
2023-02-10,361.98822021484375,365.36309309637835,358.1298545645812,364.7611589038318,2270700,367.11765441894534,368.87515411376955,356.735302734375,2916580.0
2023-02-13,365.9354553222656,366.2413913827911,362.22510349539635,363.6954275646056,2286400,367.0890350341797,368.6437469482422,357.03148986816404,2817850.0
2023-02-14,365.07696533203125,368.4814415348435,362.8764179185691,364.7019760558046,1841400,367.0258758544922,368.39507446289065,357.22380981445315,2769195.0
2023-02-15,364.76123046875,364.91909216858966,360.19233583828833,361.44556259121265,2203300,366.587744140625,368.43059997558595,357.42439697265627,2742005.0
2023-02-16,362.69879150390625,368.1558012736871,360.0837741847137,360.0837741847137,2792700,365.85850219726564,368.41135864257814,357.6619598388672,2726080.0
2023-02-17,356.3635559082031,361.8600463400559,355.0510933236854,359.2548764703514,2718900,364.5973754882813,367.6638610839844,357.941484375,2668855.0
